headline,publisher,date,stock,headline_length,keywords,hour
Option Alert: Verifone Feb 19.0 Calls Sweep: 1106 @ ASK $0.697: 1111 traded vs 675 OI: Earnings 3/9 After Close (est) $18.71 Ref,Charles Gross,,PAY,128,"['option alert', 'verifone feb', 'sweep', 'ask', 'oi', 'earnings', 'close', 'ref']",
Mid-Afternoon Market Update: Crude Oil Up Over 1%; Lexicon Pharmaceuticals Shares Plunge,Lisa Levin,,PFE,88,"['mid-afternoon market update', 'crude', 'up', 'lexicon pharmaceuticals shares plunge']",
Wunderlich's MLP Weekly Update: Pain Then Pleasure,Benzinga Staff,,LGCY,50,"['wunderlich', 'mlp weekly update', 'pain', 'pleasure']",
"Earnings Scheduled For November 11, 2016",Lisa Levin,,PAM,40,"['earnings scheduled', 'november']",
"Credit Suisse Maintains Outperform on Sina Corporation, Lowers PT to $76.00",Juan Lopez,,SINA,75,"['credit suisse maintains outperform', 'sina', 'lowers pt']",
"Bank of America Positive on MOH, CNC, AGP, UNH, CI",Juan Lopez,,MOH,50,"['america positive', 'moh', 'cnc', 'agp', 'unh', 'ci']",
Global Sources Ltd. Reports Q2 IFRS EPS of $0.46 vs $0.43 Est; Revenue of $61.40M vs $58.98M Est,Charles Gross,,GSOL,96,"['global sources', 'q2 ifrs eps', 'vs $', 'est', '$ 61.40m vs $ 58.98m', 'est']",
Whiting Petroleum Stockholders Approve Acquisition of Kodiak Oil & Gas,Hal Lindon,,WLL,70,"['whiting petroleum stockholders approve acquisition', 'kodiak']",
"SunTrust Robinson Humphrey Initiates Coverage on Jazz Pharmaceuticals plc at Neutral, Announces $158.00 PT",Paul Quintaro,,JAZZ,106,"['suntrust robinson humphrey initiates coverage', 'jazz pharmaceuticals', 'neutral', 'announces', 'pt']",
How to Profit From Japanese Protests Against Nuclear Power,Daniel Hayden IV,,PBW,58,"['profit', 'protests against nuclear power']",
"Earnings Scheduled For March 28, 2017",Lisa Levin,,PLAY,37,"['earnings scheduled', 'march']",
"Stocks Which Set New 52-Week Low Yesterday, Tues., Dec. 18, 2018",Benzinga Newsdesk,,CTLT,64,"['stocks', 'set', 'new 52-week', 'low yesterday', 'tues.', 'dec.']",
Shares of several basic materials companies are trading higher after Joe Biden took the delegate lead on Super Tuesday. Biden's more 'moderate' economic policies have been seen as more favorable for growth.,Benzinga Newsdesk,,VALE,206,"['shares', 'basic materials companies', 'joe biden', 'biden', 'economic policies']",
New 52-Week Low Achievers For Wednesday Morning,Lisa Levin,,MGPI,47,"['new 52-week', 'low achievers', 'morning']",
Benzinga's Volume Movers,Lisa Levin,,UBSH,24,"['benzinga', ""'s volume"", 'movers']",
Mackie Research Upgraded Newmont Mining to Buy,Paul Quintaro,,NEM,46,"['mackie', 'upgraded newmont mining', 'buy']",
MGI Sues Illumina For Patent Infringement In United States,Benzinga Newsdesk,,ILMN,58,"['mgi sues illumina', 'patent infringement']",
"UPDATE: JP Morgan Upgrades TreeHouse Food To Overweight, Announces $45 Target As Firm Increasingly Believes 'COVID-19 will benefit the company, at least in the near-term'",Benzinga_Newsdesk,,THS,170,"['update', 'jp morgan upgrades treehouse', 'overweight', 'announces', 'target', 'increasingly believes']",
Western Areas Option to Acquire BioHeap Leaching Technology,Benzinga Staff,,ASX,59,"['areas option', 'acquire bioheap leaching']",
Wunderlich Securities Considers Potential Acquisition Of DirecTV By AT&T,Dwight Einhorn,,DTV,72,"['wunderlich securities considers potential acquisition', 'directv', 'at']",
14 Lowest PEG Ratios In The S&P 500,Wayne Duggan,,RE,35,['lowest peg ratios'],
"Raymond James Angelica Jarvenpaa Says Tax Credit Was One of Most Significant Wildcards Facing Solar Industry Up To This Point, Says This Will Undoubtedly Spur Demand and Grow Supply",Hal Lindon,,TSL,181,"['raymond james angelica jarvenpaa says', 'credit was', 'significant wildcards facing solar', 'up', 'says', 'will undoubtedly spur demand', 'grow']",
"Benzinga Pro Afternoon Price Check For Sector ETFs: Retail ETF (XRT) Up 0.4%, Staples (VDC) Up 0.2%, Industrials (VIS) Up 0.6%, Financials (XLF) Up 0.9%, Tech (XLK) Up 0.2%, Energy (XLE) Up 1.8%, Utilities (VPU) Up 0.4%",Eddie Staley,,XLK,219,"['benzinga pro afternoon price', 'sector etfs', 'etf', 'xrt', 'up', 'staples', 'vdc', 'up', 'industrials', 'vis', 'up', 'financials', 'xlf', 'up', 'tech', 'xlk', 'up', 'energy', 'xle', 'up', 'utilities', 'vpu', 'up']",
Top 4 Mid-Cap Stocks In The Gold Industry With The Highest ROE,Lisa Levin,,IAG,62,"['top', 'mid-cap stocks', 'gold industry', 'highest roe']",
"Stifel Nicolaus Maintains Buy on Proofpoint, Inc., Raises PT to $50.00",Hal Lindon,,PFPT,70,"['stifel nicolaus maintains buy', 'proofpoint', 'raises pt']",
"As Price Falls, Vetr Upgrades GlaxoSmithKline To Buy",Chris Dier-Scalise,,GSK,52,"['price', 'vetr upgrades glaxosmithkline', 'buy']",
"Mid-Day Market Update: Zynga Rides Positive Social Media Sentiment, Jos. A Bank Falls on Bad Guidance",Jake L'Ecuyer,,DDD,101,"['mid-day market update', 'zynga rides positive', 'media sentiment', 'jos', 'guidance']",
"Tesla Wants to Produce 500K Electric Cars per Year at Planned Gigafactory in Brandenburg, Germany",Charles Gross,,TSLA,97,"['tesla wants', 'produce', 'cars', 'planned gigafactory', 'brandenburg', 'germany']",
"Stocks That Made New 52-Week Lows Today Include: Goodyear Tire, Kellogg, Philip Morris, Altria, QUALCOMM, Hershey, and American Airlines",Hal Lindon,,K,136,"['stocks', 'made', 'new 52-week', 'lows', 'include', 'goodyear tire', 'kellogg', 'philip morris', 'altria', 'qualcomm', 'hershey']",
"Seneca Foods Q4 EPS $(0.91) Up From $(1.46) YoY, Sales $262.59M Down From $299.679M YoY",Benzinga Newsdesk,2019-06-13 20:20:48+00:00,SENEB,87,"['seneca', 'q4 eps', 'up', 'yoy', '$ 262.59m', 'down', '$ 299.679m', 'yoy']",20.0
Muddy Waters Denies Reports they are Targeting Chinese A-Share Market,Charles Gross,,SINA,69,"['muddy waters denies', 'targeting', 'a-share market']",
"Amazon, Under Armour, Pandora: Fast Money Picks For December 8",Craig Jones,,UA,62,"['amazon', 'armour', 'pandora', 'fast', 'picks', 'december']",
Sterling Partners & Permira Funds To Acquire eBay Enterprise For $925M,Eddie Staley,,EBAY,70,"['sterling partners', 'permira', 'acquire', 'enterprise', '$ 925m']",
"Stifel Nicolaus Maintains Power Integrations at Buy, Raises PT from $44 to $45",webmaster,,POWI,78,"['stifel nicolaus maintains power integrations', 'buy', 'raises pt']",
"ExxonMobil, Renewable Energy Offer Progress On Cellulosic Biodiesel Research: 'Companies agree to extend research program based on positive findings'",Paul Quintaro,,REGI,149,"['exxonmobil', 'energy offer', 'cellulosic biodiesel', 'research program', 'positive findings']",
"Biogen, Eisai To Discontinue Phase 3 ENGAGE, EMERGE Trials Of Aducanumab In Alzheimer's",Benzinga Newsdesk,,BIIB,87,"['biogen', 'eisai', 'discontinue phase', 'engage', 'emerge trials', 'aducanumab', 'alzheimer']",
PEP and DMND Play Organic Food Game,Monica Gerson,,CAG,35,"['pep', 'dmnd', 'organic', 'game']",
"Credit Suisse Maintains Outperform on Medivation, Inc., Raises PT to $95.00",Juan Lopez,,MDVN,75,"['credit suisse maintains outperform', 'medivation', 'raises pt']",
"Morgan Stanley Maintains Overweight on Assurant, Raises Price Target to $149",Vick Meyer,,AIZ,76,"['morgan stanley maintains overweight', 'assurant', 'raises price target']",
Novogratz Long Equities and Currency in India; Multi-Year Trade,Charles Gross,,INF,63,"['novogratz', 'equities', 'currency', 'india', 'multi-year']",
"The Daily Biotech Pulse: AbbVie Halts Lung Cancer Trial, Oncomed Merges With Mereo, Momenta Offering",Shanthi Rexaline,,CRIS,100,"['biotech pulse', 'abbvie halts lung', 'trial', 'oncomed merges', 'mereo', 'momenta offering']",
"Deutsche Bank Maintains Groupon at Hold, Lowers PT from $6 to $4",Juan Lopez,,GRPN,64,"['deutsche', 'maintains groupon', 'hold', 'lowers pt']",
"B. Riley Upgrades Tronox Limited to Buy, Raises PT to $29.00",Paul Quintaro,,TROX,60,"['b. riley upgrades tronox limited', 'buy', 'raises pt']",
"ImmunoCellular Therapeutics, Ltd. Reports Q2 EPS of $(0.04) vs $(0.06) Est",Eddie Staley,,IMUC,74,"['immunocellular therapeutics', 'q2 eps', 'vs $', 'est']",
Snap Is The Hottest Stock Among Short Sellers,Wayne Duggan,,GPRO,45,"['snap', 'hottest', 'short sellers']",
"Earnings Scheduled For July 16, 2019",Lisa Levin,,IBKR,36,"['earnings scheduled', 'july']",
Scholastic Corp Reports Q1 EPS $(0.81) vs $(1.04) Est; Revenues $318.0M vs $302.2M Est,Matthew Kennedy,,SCHL,86,"['scholastic corp', 'q1 eps', 'vs $', 'est', 'revenues', '$ 318.0m vs $ 302.2m', 'est']",
"Oppenheimer Initiates Coverage On MLP's (BWP, EEP, EPB, EPD, ETP, MMP, OKS, PAA, RGNC, SEP)",Roger Nachman,,PAA,91,"['oppenheimer initiates coverage', 'mlp', 'bwp', 'eep', 'epb', 'epd', 'etp', 'mmp', 'oks', 'paa', 'rgnc', 'sep']",
Stocks That Hit 52-Week Lows On Thursday,Lisa Levin,2020-03-05 15:29:20+00:00,FIBK,40,"['stocks', 'lows']",15.0
"Developers Diversified Realty Secures Advertising and Sponsorship Agreements with AT&T and Coca-Cola in Puerto Rico (DDR, T, COKE, MA)",Benzinga Staff,,MA,134,"['developers', 'realty secures advertising', 'sponsorship agreements', 'at', 'coca-cola', 'puerto rico', 'ddr', 'coke', 'ma']",
25 Stocks Moving In Monday's Pre-Market Session,Lisa Levin,,NG,47,"['stocks', 'pre-market session']",
"Alexion To Acquire Syntimmune; Alexion Will Acquire Syntimmune For An Upfront Payment Of $400M With The Potential For Milestone-Dependent Payments Of Up To $800, For Total Value Of $1.2B",Benzinga_Newsdesk,,ALXN,186,"['alexion', 'acquire syntimmune', 'alexion will acquire syntimmune', 'upfront payment', '$ 400m', 'potential', 'milestone-dependent payments', 'up', 'value', '$ 1.2b']",
CF Industries Shares Bid Higher Premarket on Confirmation of Merger Talks with Yara,Charles Gross,,CF,83,"['cf', 'shares bid', 'premarket', 'confirmation', 'talks', 'yara']",
56 Stocks Moving In Friday's Mid-Day Session,Lisa Levin,,RARE,44,"['stocks', 'mid-day session']",
"Acme United Reports Q2 EPS $0.91 vs $0.74 in Same Qtr. Last Year, Sales $41M; Raises FY16 Outlook",Paul Quintaro,,ACU,97,"['acme', 'q2 eps', 'vs $', 'qtr', '$ 41m', 'raises fy16 outlook']",
"Morgan Stanley Maintains Diamond Offshore Drilling at Overweight, Raises PT from $81 to $85",webmaster,,DO,91,"['morgan stanley maintains diamond offshore drilling', 'overweight', 'raises pt']",
KeyBanc Upgrades Tempur-pedic International Inc to Buy,Paul Quintaro,,TPX,54,"['keybanc upgrades tempur-pedic', 'inc', 'buy']",
"Today In Blockchain: Robinhood, Future Fintech, Applied DNA Sciences, Bank of America",Brett Hershman,,C,85,"['blockchain', 'robinhood', 'fintech', 'applied dna', 'america']",
Infinera CEO Says '...demand is softening in certain areas of our business and we face a difficult near-term revenue outlook',Paul Quintaro,,INFN,125,"['infinera ceo says', '... demand', 'certain areas', 'difficult near-term revenue outlook']",
QEP Resources Reports Q3 EPS $0.47 vs $0.39 Est; Revenues $852.4M vs $658.86M Est,Allie Wickman,,QEP,81,"['qep resources', 'q3 eps', 'vs $', 'est', 'revenues', '$ 852.4m vs $ 658.86m', 'est']",
Hancock Holdings Reports Inline Q1 EPS $0.05,Paul Quintaro,,HBHC,44,"['hancock holdings', 'inline q1 eps']",
Sterne Agee: Denbury Resources Share Price Could Decline To $8,John Seward,,DNR,62,"['sterne agee', 'denbury resources share price', 'decline']",
"Earnings Scheduled For December 4, 2012",Monica Gerson,,TOL,39,"['earnings scheduled', 'december']",
"Argus Downgrades Kinder Morgan To Hold, Sees Investors Concerned About Dividend",Eddie Staley,,KMI,79,"['argus downgrades kinder morgan', 'hold', 'concerned', 'dividend']",
SSgA Changes Indexes For 5 Popular ETFs,ETF Professor,2011-10-24 16:17:46+00:00,KME,39,"['ssga', 'indexes', 'popular etfs']",16.0
"Tandem Diabetes Care Reports CFO John Cajigas To Retire; Senior VP Of Finance, Leigh Vosseller, Promoted To CFO",Paul Quintaro,,TNDM,111,"['tandem diabetes care', 'cfo john cajigas', 'retire', 'senior vp', 'leigh vosseller', 'promoted', 'cfo']",
iGATE Reports Q4 EPS of $0.34,Lisa Levin,,IGTE,29,"['igate reports', 'q4 eps']",
"Stocks Which Set New 52-Week High Friday, September 7th",Benzinga Newsdesk,,ESRX,55,"['stocks', 'set', 'new 52-week', 'september']",
Wide Moat ETF off to Decent Start,ETF Professor,,ESRX,33,"['moat etf', 'decent start']",
Stellus Capital Investment Corp. Reports Q1 Net Investment Income $0.33/Share,Paul Quintaro,,SCM,77,"['stellus capital', 'investment corp. reports', 'q1', 'net investment', 'income', '$ 0.33/share']",
Net Neutrality Could Mean Lost Calls For Telecom ETFs,ETF Professor,2016-06-28 14:40:14+00:00,FCOM,53,"['neutrality', 'mean lost', 'telecom etfs']",14.0
FSIC Reports Q4 Adj. Net Investment Income $0.23 vs. $0.25 Est.,Paul Quintaro,,FSIC,63,"['fsic', 'q4 adj', 'net investment', 'income', 'est']",
"Short Interest in Home Builder Stocks Rises (MTH, SPF, TPH)",Nelson Hem,,LOW,59,"['short interest', 'builder stocks rises', 'mth', 'spf', 'tph']",
12 Biggest Mid-Day Losers For Wednesday,Lisa Levin,,SGMO,39,['biggest mid-day losers'],
"NxStage Medica Q1 EPS $(0.02) vs $(0.02) Est, Sales $96.83M vs $95.29M Est",Paul Quintaro,,NXTM,74,"['nxstage medica q1 eps', 'vs $', 'est', '$ 96.83m vs $ 95.29m', 'est']",
"Debate Over How Much Sovereignty Greece Has To Cede To EU -DJ, Sources",Allie Wickman,,NBG,70,"['sovereignty greece', 'cede', 'eu', 'sources']",
Pernix Therapeutics Spikes to High of $4.80 on Volume,Charles Gross,,PTX,53,['pernix therapeutics spikes'],
"Fiat Chrysler CEO Says Has No Intention To Sell Maserati Brand, Sees It As Core Part Of Business",Benzinga Newsdesk,,FCAU,96,"['fiat chrysler ceo says', 'intention', 'sell maserati brand', 'core part']",
Option Alert: Talisman Shares Move to High; Nov $6 Call Active,Charles Gross,,TLM,62,"['option alert', 'talisman shares move', 'nov', 'call active']",
Bristol-Myers Squibb Hits Lowest Level In 2 Years After Mixed Q4 Report,Joel Elconin,,BMY,71,"['bristol-myers squibb hits lowest level', 'years', 'mixed q4']",
Dow Dips Over 200 Points; Vistaprint Shares Surge On Strong Results,Garrett Cook,,BG,67,"['dow dips', 'points', 'vistaprint shares surge', 'strong']",
HMS Holdings Wins Temporary Injunction vs Public Consulting Group In Trade Secrets Case,Charles Gross,,HMSY,87,"['hms holdings wins temporary injunction', 'consulting', 'secrets case']",
77 Biggest Movers From Yesterday,Lisa Levin,,IIVI,32,"['biggest movers', 'yesterday']",
"Stifel Nicolaus Downgrades Broadcom Corporation to Hold, Removes $34.00 PT",Paul Quintaro,,BRCM,74,"['stifel nicolaus downgrades broadcom', 'hold', 'removes', 'pt']",
40 Stocks Moving In Friday's Pre-Market Session,Lisa Levin,,AXP,47,"['stocks', 'pre-market session']",
"China Natural Resources Shares Halted on Breaker, Halted Down 3.5%",Paul Quintaro,,CHNR,66,"['china', 'resources shares halted', 'breaker', 'halted down']",
Morgan Stanley Earlier Downgraded Lamar Advertising Company to Equal-weight,Hal Lindon,,LAMR,75,"['morgan stanley', 'downgraded lamar advertising', 'equal-weight']",
"Domino's Shares Remain Up 3.9% As Traders Earlier Circulated Tweet From 680 News Reporter Highlighting 2-Day Old Report Of Interest From 'Berger King'; 680 News Reporter Has Since Deleted Original Tweet, Republished But Without Indication From 'Sources'",Paul Quintaro,,QSR,253,"['domino', 'shares remain up', 'traders', 'circulated tweet', 'reporter highlighting', 'interest', ""'berger king"", 'reporter', 'deleted original tweet', 'republished']",
Weight Watchers Falling a Bit after Vivus Weight-Loss Drug Receives Positive Vote,Allie Wickman,,WTW,81,"['weight watchers falling', 'bit', 'vivus weight-loss drug receives positive vote']",
Steel Partners Holdings LP Reports Q3 EPS of $(0.52); Revenue of $210.70M,Paul Quintaro,,SPLP,73,"['partners holdings lp', 'q3 eps', '$ 210.70m']",
"10 Notable Stocks Trading Ex-Dividend Thursday, December 8",Lisa Levin,,AAN,58,"['stocks', 'ex-dividend', 'december']",
"Benzinga Pro Mornings Price Check For Major Averages: S&P 500 Down 7 (0.3%), Dow 30 Down 67 (0.3%), Nasdaq Down 21 (0.3%), Russell 2000 Down 15 (1.0%)",Benzinga Newsdesk,,QQQ,150,"['benzinga pro mornings price', 'averages', 'down', 'dow', 'down', 'nasdaq down', 'russell', 'down']",
Karyopharm Announces FDA Extension Of Review Period For Selinexor New Drug Application,Benzinga Newsdesk,,KPTI,86,"['karyopharm announces fda', 'review period', 'selinexor', 'drug application']",
Travelzoo Spikes Lower,Charles Gross,,TZOO,22,['travelzoo spikes lower'],
Earnings Scheduled For January 23,Monica Gerson,,CR,33,"['earnings scheduled', 'january']",
"Spruce Point Capital Tweets: 'As if Shark wasn't enough for $IRBT, electrolux is also out with a new game changing robotic vacuum. http://www.electroluxgroup.com/en/electrolux-launches-game-changing-robotic-vacuum-cleaner-23907/ … #negative'",Hal Lindon,,IRBT,241,"['spruce', 'capital tweets', 'shark', 'irbt', 'new game', 'robotic vacuum', '//www.electroluxgroup.com/en/electrolux-launches-game-changing-robotic-vacuum-cleaner-23907/ … #']",
"How Close Is A Sanofi, Genzyme Deal? (GENZ, SNY)",Roger Nachman,,SNY,48,"['close', 'sanofi', 'genzyme deal', 'genz', 'sny']",
58 Stocks Moving In Wednesday's Mid-Day Session,Lisa Levin,2020-06-03 16:18:19+00:00,BTE,47,"['stocks', 'mid-day session']",16.0
"Eastman Kodak Reports Adopted Tax Asset Protection Plan, Filed Amendment To Certificate Of Incorporation In Order To Protect Co.'s Substantial Tax Assets",Benzinga Newsdesk,,KODK,153,"['eastman kodak', 'adopted', 'asset protection', 'filed amendment', 'certificate', 'incorporation', 'protect', ""co. 's"", 'substantial', 'assets']",
"Ocular Therapeutix Reports Early Assignment Of Permanent, Specific J-Code (J1096) For DEXTENZA 0.4mg",Benzinga Newsdesk,,OCUL,100,"['ocular therapeutix', 'early assignment', 'permanent', 'specific j-code', 'j1096', 'dextenza']",
Athersys Announces Positive Interim Results From Ongoing Phase I Study of MultiStem(R),Theo Kratz,,ATHX,86,"['athersys announces positive interim', 'ongoing phase', 'multistem']",
Ultra Clean Holdings Announces $99M Merger Agreement with American Integration Technologies,Eddie Staley,,UCTT,91,"['ultra clean holdings announces', '$ 99m', 'agreement', 'integration technologies']",
Watch These 5 Huge Call Purchases In Tuesday Trade,Lisa Levin,,FCX,50,"['watch', 'huge call purchases']",
38 Stocks Moving In Wednesday's Mid-Day Session,Lisa Levin,,URBN,47,"['stocks', 'mid-day session']",
American Electric Technologies subsidiary M&I Electric announces power system award for New England LNG project,Paul Quintaro,,AETI,111,"['technologies', 'subsidiary m', 'electric announces power system award', 'england lng']",
"S&P Announces Citizens Financial to Join S&P 500; ZELTIQ, RE/MAX to Join S&P SmallCap 600",Paul Quintaro,,CFG,89,"['p announces', 'financial', 'join', 'zeltiq', 're/max', 'join', 'p smallcap']",
"Rite Aid Reports Q2 Adj. EPS $(0.01), Inline, Sales $7.7B vs $7.83B Est.",Paul Quintaro,,RAD,72,"['q2 adj', 'eps', 'inline', '$ 7.7b vs $ 7.83b', 'est']",
"A Look At Benzinga Pro's Most-Searched Tickers For June 18, 2019",Sebastian Brown,,ARQL,64,"['benzinga pro', 'most-searched tickers', 'june']",
More Bad News For PC Market,Wayne Duggan,,TEL,27,['pc market'],
ServiceNow Q3 Earnings Preview,Benzinga Newsdesk,,NOW,30,['servicenow q3 earnings preview'],
This Bud's For You: InBev's $103 Billion Takeover Of Rival SABMiller Is Official,Jayson Derrick,,BUD,80,"['bud', 'inbev', ""'s $"", 'billion takeover', 'rival sabmiller']",
Mid-Day Market Update: True Religion Rallies Despite Market Downturn,Jake L'Ecuyer,,VSAT,68,"['mid-day market update', 'true religion rallies', 'market downturn']",
"CEOWORLD Top 10 Oil & Gas Stocks 2011- CVX, XOM, EC, BP, DVN, OXY, CHK, EQT, CVE, WNR, ECA, SLB, COG, HAL, TOT",CEO World,,ALJ,110,"['ceoworld top', 'stocks', 'cvx', 'xom', 'ec', 'bp', 'dvn', 'oxy', 'chk', 'eqt', 'cve', 'wnr', 'eca', 'slb', 'cog', 'hal', 'tot']",
"Earnings Scheduled For December 5, 2017",Lisa Levin,,AVAV,39,"['earnings scheduled', 'december']",
"Insider Buys Of The Week: GTT Communications, Dish Network, Heico",Nelson Hem,,HEI,65,"['insider buys', 'gtt communications', 'dish network', 'heico']",
Adobe Is Killing Flash,Jayson Derrick,,ADBE,22,"['adobe', 'killing flash']",
Morning Market Movers,Lisa Levin,,ICLD,21,['morning market movers'],
Universal Technical Institute Reports Q1 EPs of $0.42 vs. $0.40,Benzinga Staff,,UTI,63,"['universal technical', 'institute reports', 'q1 eps']",
28 Stocks Moving In Tuesday's Pre-Market Session,Lisa Levin,,IRDM,48,"['stocks', 'pre-market session']",
"Wells Fargo Maintains Overweight on Leidos Holdings, Lowers Price Target to $105",Benzinga_Newsdesk,,LDOS,80,"['fargo maintains overweight', 'leidos holdings', 'lowers price target']",
Credit Suisse Downgrades Taiwan Semiconductor to Neutral,Paul Quintaro,,TSM,56,"['credit suisse downgrades taiwan semiconductor', 'neutral']",
Mid-Morning Market Update: Markets Mixed; FedEx Earnings Miss Estimates,Garrett Cook,,FOLD,71,"['mid-morning market update', 'markets mixed', 'fedex earnings miss']",
UPDATE: Morgan Stanley Lowers Price Target on TRW Automotive Holdings to $65,Steven Anfield,,TRW,76,"['update', 'morgan stanley lowers price target', 'trw automotive holdings']",
25 Stocks Moving In Thursday's Pre-Market Session,Lisa Levin,,VALE,49,"['stocks', 'pre-market session']",
Solar Senior Capital Increases Dividend to $0.1175,Eddie Staley,,SUNS,50,['solar senior capital increases dividend'],
UPDATE: Deutsche Bank Cuts PT to $64 on Baxter International,David Johnson,,BAX,60,"['update', 'deutsche', 'cuts pt', 'baxter']",
"Midday Losers From October 31: Aegerion Pharmaceuticals, Bottomline Technologies, Digital Globe",Alex Furno,,DGI,95,"['midday losers', 'october', 'aegerion pharmaceuticals', 'bottomline technologies', 'digital globe']",
"Stocks Which Set New 52-Week High Yesterday, August 2nd",Benzinga Newsdesk,,USPH,55,"['stocks', 'set', 'new 52-week', 'yesterday', 'august']",
Stocks That Hit 52-Week Lows On Monday,Lisa Levin,,FORR,38,"['stocks', 'lows']",
Tag Heuer Latest Sponsor To Drop Tiger Woods,Gordon Wilcox,,PEP,44,"['tag heuer latest sponsor', 'drop tiger woods']",
"Buffett On Johnson & Johnson: Still An Attractive Business At This Price, But Would Sell If He Needed Capital -CNBC",Allie Wickman,,BRK.A,115,"['buffett', 'johnson', 'johnson', 'attractive', 'price', 'sell', 'needed capital']",
"Brady Corp. Reports Q4 EPS $0.48 vs $0.46 Est., Sales $289.2M vs $280.5M Est.",Paul Quintaro,,BRC,77,"['brady', 'corp. reports', 'q4 eps', 'vs $', 'est.', '$ 289.2m vs $ 280.5m', 'est']",
"7 Stocks To Watch For June 13, 2018",Lisa Levin,,TWX,35,"['stocks', 'watch', 'june']",
Oracle Japan Profits 'Unexpectedly' Down In Fourth Quarter,Patrick Williams,,ORCL,58,"['oracle japan profits', 'down', 'fourth quarter']",
"Wells Fargo Maintains Equal-Weight on Choice Hotels Intl, Lowers Price Target to $92",Vick Meyer,,CHH,84,"['fargo maintains equal-weight', 'hotels intl', 'lowers price target']",
Liberty Global Offers Response To Sunrise Termination Of Share Purchase Deal,Benzinga Newsdesk,,LBTYK,76,"['liberty global offers', 'termination', 'share purchase deal']",
10 Small-To-Mid-Cap Biotech Ideas For When The Coronavirus Fades,Shanthi Rexaline,2020-03-17 21:13:52+00:00,ITCI,64,"['small-to-mid-cap biotech ideas', 'coronavirus fades']",21.0
"Barron's Picks And Pans: Apple, Exxon, Morgan Stanley And More",Nelson Hem,,AL,62,"['barron', 'picks', 'pans', 'apple', 'exxon', 'morgan stanley']",
"Omnicell, Inc. Reports Q3 EPS of $0.31 vs $0.28 Est; Revenue of $94.0M vs $94.96M Est",Paul Quintaro,,OMCL,85,"['omnicell', 'q3 eps', 'vs $', 'est', '$ 94.0m vs $ 94.96m', 'est']",
"CenturyLink Q4 Adj. EPS $0.33, Inline, Sales $5.57B Beat $5.55B Estimate",Benzinga Newsdesk,,CTL,72,"['centurylink q4 adj', 'eps', 'inline', '$ 5.57b', '$ 5.55b', 'estimate']",
S&P: Some ETF Investors Should Look at First-Half Laggards,ETF Professor,,WFC,58,"['etf', 'first-half laggards']",
PROS Announces 4M Share Common Stock Follow-On Offering,Benzinga Newsdesk,,PRO,55,"['pros announces', 'share', 'common stock', 'follow-on offering']",
Shares of several oil & gas companies are trading higher after the new Saudi energy minister said there would be no radical change in the country's oil policy and the deal to cut oil production by 1.2 million barrels per day will stay.,Benzinga Newsdesk,,CVE,235,"['shares', 'gas companies', 'saudi', 'energy minister', ""country 's oil policy"", 'oil production']",
"Earnings Scheduled For November 1, 2017",Lisa Levin,,SPR,39,"['earnings scheduled', 'november']",
